sifra,Municipality,Municipality2,District,Ballots,Empty.Ballots,Other.Invalid.Ballots,Numvoters,p00090,p00008,p02321,p00001,p02328,p00004,p01698,p01182,p02385,p00877,p02402,p02373,p00036,p00513,p02399,p01276,p02401,p02325,p02323,p01728,p02368,p00521,p01718,p01178,p01705,pNA,p02403,p02317,p02382,p02391,p02395,p02314,p01699,p01701,p00028,p02375,p00502,p00769,p02383,p02311,p00017,p01200,p02384,p01703,p02322,p00734,p01714,p02353,p02358,p02388,p01270,p02389,p02398,p01188,p01290,p02400,p02396,p02355,p02360,p02361,p02072,p02354,p02390,p02392,p02376,p00882,p02387,p01989,p01723,p02347,p02397,p02291,p02359,p01706,p02349,Entity,Election
131,ILIDŽA,ILIDÅ½A (131),KANTON 9,31477,841,1386,63578,28.1,9.58,0,2.19,2.4,1.42,5.88,9.78,0,8.08,0,0,2.88,0.4,0,0,0,0,0.3,0.04,0.25,0,0.04,0,0,0,0,18.26,1.57,0,0,1.76,1.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48,0,0,0,0,1.29,0.63,1.36,0.35,0.08,0.07,0.17,0.1,0.02,0.02,Fed,Kantons
004,BOSANSKA KRUPA,BOSANSKA KRUPA (004),KANTON 1,9194,307,627,25526,30.12,19.15,0,0,0,0,15.83,7.25,0,7.02,0,0,0,0.4,0,0.12,0,0.05,0,0.01,0.1,0,0.01,0,0,0,0,0.46,0,0,0,2.63,0,0.11,0.12,16.21,0.2,0.02,0.08,0.11,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
106,LIVNO,LIVNO (106),KANTON 10,9643,246,375,26302,10.97,4.22,0,0,0.02,0.37,2.93,0,0,0,0,0,0,0,0,0.1,0,0.04,0,0.05,0.49,0,0.01,0,4.71,0,0,0,0,0,0,0.07,0,0,0,0,2.96,23.99,0,0.01,0.13,0.02,26.95,5.93,9.14,2.77,0.09,0.05,0.03,3.92,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
047,LUKAVAC,LUKAVAC (047),KANTON 3,20409,874,888,42177,20.71,35.93,13.45,1,0.89,3.24,8.77,6.37,1.08,2.63,0.27,1.68,0.9,0.66,1.56,0.19,0.08,0.13,0.22,0.04,0.13,0.04,0,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
075,ŽEPČE,Å½EPÄŒE (075),KANTON 4,11262,302,373,23652,26.35,8.15,0.59,0.17,0.23,0.47,1.6,1.53,0,0.65,0.02,1.69,0.12,0.59,0,0.04,0,0.04,0,0.03,0.08,0,0.01,0,0,0,7.08,0.07,49.25,1.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
091,TRAVNIK,TRAVNIK (091),KANTON 6,23758,497,1033,46593,38.64,14.06,1.32,0,0.05,5.68,4.32,7.68,0,0,0.15,1.01,0.32,0.9,0,0.09,0,0.17,0,0.02,0.04,0,0.03,0,0,0,0,0,18.57,0,4.56,2.29,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
172,ČITLUK,ÄŒITLUK (172),KANTON 7,6659,148,150,13578,0.05,0.12,0,0,0,0.02,0.05,0.11,0,0.08,0.03,0,0.03,0,0,0.03,0,0.02,0,0.02,0.02,0,0,0,2.84,0,0,0.02,80.76,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,15.69,0.02,0.03,0,0,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
171,LJUBUŠKI,LJUBUÅ KI (171),KANTON 8,10727,132,307,21562,0,0.5,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0.14,0,0.08,0,0.06,0,0,0,0,2.29,0,0,0,0,0,0,0.04,0.07,0,0.01,0,0.68,0,0,0,0.77,0,0,0,0,4.99,0,0,0,0,0.05,0,0,0,0.47,0,0,0,0,0,0,0,72.15,16.39,1.2,0.06,0,0,0,0,0,0,0,0,0,Fed,Kantons
133,NOVI GRAD SARAJEVO,NOVI GRAD SARAJEVO (133),KANTON 9,58225,1435,2911,112479,27.2,9.34,0,2.04,3.45,1.05,5.87,9.81,0,12.69,0,0,6,0.52,0,0,0,0,0.35,0.01,0.26,0,0.07,0,0,0,0,11.66,0.95,0,0,1.3,0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.33,0,0,0,0,1.09,0.6,2.2,1.35,0.09,0.09,0.13,0.09,0.06,0.02,Fed,Kantons
005,BUŽIM,BUÅ½IM (005),KANTON 1,6619,254,373,14954,26.53,3.91,0,0,0,0,2.6,14.32,0,0.82,0,0,0,0.11,0,0.08,0,0,0,0,0,0,0,0,0,0,0,0.18,0,0,0,17.87,0,0.33,0.12,33.01,0.09,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
107,KUPRES,KUPRES (107),KANTON 10,1528,53,51,3490,1.37,0.46,0,0,0.07,0.85,0.33,0,0,0,0,0,0,0,0,0,0,0.07,0,0,3.4,0,0,0,0.92,0,0,0,0,0,0,0.07,0,0,0,0,0.2,16.69,0,0.07,0.39,0.2,55.82,17.15,1.57,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
049,SREBRENIK,SREBRENIK (049),KANTON 3,17560,944,822,38453,24.04,19.01,16.55,2.57,9.44,1.99,8.47,5.78,2.62,1.39,1.01,2.12,0.97,0.88,2.63,0.11,0.06,0.09,0.15,0.05,0.01,0.02,0,0.01,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
077,ZAVIDOVIĆI,ZAVIDOVIÄ†I (077),KANTON 4,15069,413,732,33658,28.44,25.72,2.37,1.02,0.34,12.03,6.92,5.28,0,0.92,0.14,6.93,0.58,3.08,0,0.09,0,0.1,0,0.04,0.05,0,0.01,0,0,0,3.72,0.17,1.96,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
109,BUGOJNO,BUGOJNO (109),KANTON 6,14338,599,532,29297,38.09,25.13,2.22,0,0.14,1.65,6.22,8.03,0,0,0.38,1.1,0.5,0.76,0,0.06,0,0.16,0,0.05,0.08,0,0.03,0,0,0,0,0,9.58,0,0.91,4.85,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
173,ČAPLJINA,ÄŒAPLJINA (173),KANTON 7,10396,220,393,21639,9.47,3.93,0,0.12,0.02,0.58,1.24,2.28,0,1.08,0.03,0,0.06,0,0,0.07,0,0.02,0,0.04,1.55,0,0.01,0,5.05,0,0,0.06,66.88,0,0,0.52,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,6.49,0.07,0.12,0.02,0.18,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
135,VOGOŠĆA,VOGOÅ Ä†A (135),KANTON 9,14083,522,658,26417,30.79,10.81,0,2.2,3.02,0.85,10.84,8.52,0,6.3,0,0,3.27,0.33,0,0,0,0,0.49,0.01,0.3,0,0.04,0,0,0,0,14.08,0.28,0,0,1.63,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51,0,0,0,0,1.62,0.83,0.83,0.31,0.09,0.04,0.51,0.09,0.03,0.02,Fed,Kantons
030,BOSANSKI PETROVAC,BOSANSKI PETROVAC (030),KANTON 1,2210,151,207,6537,34.21,7.96,0,0,0,0,5.93,7.24,0,3.89,0,0,0,0.54,0,0.14,0,0,0,0.09,20.14,0,0.09,0,0,0,0,0.36,0,0,0,1.18,0,0.09,4.07,12.58,0.5,0.14,0.09,0.72,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
124,TOMISLAVGRAD,TOMISLAVGRAD (124),KANTON 10,7519,200,190,17947,5.48,3.21,0,0,0,0.19,0.37,0,0,0,0,0,0,0,0,0.04,0,0.04,0,0,0,0,0,0,6.45,0,0,0,0,0,0,0.01,0,0,0,0,4.58,9.47,0,0,0.25,0,42.59,23.15,0.55,1.68,0.07,0.05,0.01,1.8,0.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
050,TUZLA,TUZLA (050),KANTON 3,49076,1655,2086,111743,11.95,29.14,10.47,1.43,1.38,3.04,10.77,8.31,4.89,10.22,0.52,1.31,2.63,1.4,1.45,0.19,0.28,0.1,0.18,0.06,0.13,0.07,0.01,0.02,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
093,ZENICA,ZENICA (093),KANTON 4,50397,1324,2371,101202,25.71,9.11,0.63,1.93,1.22,0.95,6.1,7.19,0,5.4,0.17,4.57,0.44,2.93,0,0.14,0,0.18,0,0.07,0.13,0,0.02,0,0,0,29.56,0.42,1.99,1.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
110,GORNJI VAKUF - USKOPLJE,GORNJI VAKUF - USKOPLJE (110),KANTON 6,9102,290,242,15540,39.97,16.41,0.16,0,0.1,0.52,3.16,3.49,0,0,0.04,0.55,0.16,0.33,0,0.07,0,0.03,0,0.02,0.01,0,0.01,0,0,0,0,0,30.45,0,1.14,3.33,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
174,NEUM,NEUM (174),KANTON 7,1476,36,40,3731,0.2,1.02,0,0,0,0,1.63,0.2,0,0.27,0.14,0,0,0,0,0,0,0.07,0,0.07,0.07,0,0,0,1.49,0,0,0,66.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,27.57,0,0.2,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
136,CENTAR SARAJEVO,CENTAR SARAJEVO (136),KANTON 9,30961,627,1018,59547,15.43,11.8,0,1.4,4.84,0.93,5.37,9.89,0,21.29,0,0,2.21,1.09,0,0,0,0,0.34,0.03,0.31,0,0.03,0,0,0,0,15.86,1.14,0,0,1.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43,0,0,0,0,0.9,1.09,0.92,0.25,0.05,0.22,0.22,0.17,0.02,0.03,Fed,Kantons
032,SANSKI MOST,SANSKI MOST (032),KANTON 1,9604,400,530,34131,35.68,17.33,0,0,0,0,7.94,14.71,0,5.04,0,0,0,0.52,0,0.11,0,0.14,0,0.02,1.22,0,0.04,0,0.01,0,0,2.07,0,0,0,9.31,0,0.17,0.25,4.68,0.4,0.06,0.17,0.09,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
052,ČELIĆ,ÄŒELIÄ† (052),KANTON 3,4842,183,253,9742,45.81,4.13,7.13,0.7,0.27,20.05,6.69,2.23,9.46,0.56,0.06,1.24,0.48,0.58,0.37,0.06,0,0.04,0.06,0.02,0,0.04,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
094,KAKANJ,KAKANJ (094),KANTON 4,17692,790,896,33857,31.57,11.17,3.63,1.9,5.37,8.41,8.31,12.49,0,4.34,0.14,2.09,0.4,1.85,0,0.2,0,0.11,0,0.06,0.06,0,0.02,0,0,0,3.76,0.2,3.53,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
111,NOVI TRAVNIK,NOVI TRAVNIK (111),KANTON 6,10505,334,485,20326,26.54,14.37,0.5,0,0.09,3.62,4.57,5.33,0,0,0.15,0.5,0.18,0.78,0,0.11,0,0.08,0,0.02,0.14,0,0,0,0,0,0,0,33.2,0,5.91,3.89,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
176,STOLAC,STOLAC (176),KANTON 7,6700,193,166,9702,23.15,9.55,0,0.61,0.06,0.4,1.27,6.09,0,0.64,0,0,0.07,0,0,0.07,0,0.01,0,0,0.82,0,0.01,0,0.49,0,0,0.15,52.87,0,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,2.99,0,0.18,0,0.15,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
137,STARI GRAD SARAJEVO,STARI GRAD SARAJEVO (137),KANTON 9,20014,433,902,36865,16.22,9.3,0,1.68,19.25,0.71,5.25,8.41,0,11.96,0,0,3.49,0.63,0,0,0,0,0.23,0.03,0.06,0,0.03,0,0,0,0,12.95,0.39,0,0,1.12,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.29,0,0,0,0,1.12,2.77,0.97,0.26,0.07,0.04,0.3,0.13,0.03,0.03,Fed,Kantons
059,KLJUČ,KLJUÄŒ (059),KANTON 1,4762,256,274,15964,39.71,31.9,0,0,0,0,6.89,7.64,0,1.22,0,0,0,0.63,0,0.08,0,0.13,0,0.06,0.04,0,0.06,0,0.06,0,0,0.5,0,0,0,1.36,0,0.17,0.25,8.74,0.44,0.02,0.06,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
055,TEOČAK,TEOÄŒAK (055),KANTON 3,2924,65,83,6648,62.21,5.64,21.89,0.41,0.07,1.68,1.92,1.68,0.07,0.48,0.14,1.2,0.44,0.82,1.13,0.07,0,0.1,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
095,VAREŠ,VAREÅ  (095),KANTON 4,3814,210,276,8518,20.32,9.2,0.29,1.15,0.79,0.73,7.03,24.15,0,5.37,0.26,3.07,0.29,2.52,0,0.16,0,0.05,0,0.13,0.26,0,0.03,0,0,0,4.98,0.5,17.36,1.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
112,VITEZ,VITEZ (112),KANTON 6,11037,365,742,22328,26.74,7.58,0.22,0,0.1,1.07,5.36,5.74,0,0,0.23,0.92,0.23,0.51,0,0.08,0,0.13,0,0.05,0.11,0,0.03,0,0,0,0,0,42.79,0,6.21,1.88,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
181,RAVNO,RAVNO (181),KANTON 7,893,4,11,1317,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0.78,0,0,0,76.48,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
139,NOVO SARAJEVO,NOVO SARAJEVO (139),KANTON 9,34877,710,1370,67727,16.01,11.41,0,1.8,4.32,0.93,6.79,9.85,0,20.95,0,0,2.89,0.78,0,0,0,0,0.34,0.07,0.39,0,0.05,0,0,0,0,13.29,1.89,0,0,1.57,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1,0,0,0,0,0.85,0.76,1.67,0.38,0.09,0.14,0.24,0.05,0.03,0.04,Fed,Kantons
078,BANOVIĆI,BANOVIÄ†I (078),KANTON 3,15166,368,434,20625,21.21,11.64,57.02,0.37,0.34,0.42,3.6,2.56,0.15,0.76,0.09,0.55,0.23,0.57,0.28,0.07,0.02,0.04,0.06,0.01,0.01,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
096,OLOVO,OLOVO (096),KANTON 4,4764,302,253,8827,47.69,15.87,0.78,0.97,0.63,1.39,13.08,7.33,0,0.78,0.02,7.77,0.19,1.09,0,0.06,0,0.1,0,0.08,0.15,0,0,0,0,0,1.07,0.23,0.69,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
113,BUSOVAČA,BUSOVAÄŒA (113),KANTON 6,7330,446,383,13394,27.39,11.26,0.35,0,0.08,0.42,9.59,2.95,0,0,0.14,2.25,0.2,0.71,0,0.08,0,0.14,0,0.07,0.05,0,0.01,0,0,0,0,0,38.19,0,3.57,2.52,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
199,GRAD MOSTAR,GRAD MOSTAR (199),KANTON 7,47863,1261,1839,98832,24.01,7.47,0,1.01,0.04,1.39,6.17,6.42,0,2.82,0.07,0,0.14,0,0,0.13,0,0.04,0,0.05,1.96,0,0.01,0,4.94,0,0,0.47,35.9,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,4.84,0.11,0.05,0.03,0.76,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,Fed,Kantons
141,TRNOVO (FBIH),TRNOVO (FBIH) (141),KANTON 9,1695,45,45,2298,62.24,4.66,0,0.77,1.36,0.18,1.65,4.07,0,1.3,0,0,1.18,0.12,0,0,0,0,0.18,0,0.12,0,0,0,0,0,0,19,0.06,0,0,1.24,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29,0,0,0,0,1,0.29,0,0.18,0,0,0,0,0,0,Fed,Kantons
